publicTable_2022	surveyQnum	Variable	dataType	dataRange
data2022main	Q08	Loc1Country	STRING	{'Afghanistan', ' Albania', ' Algeria', ' Andorra', ' Angola', ' Antigua and Barbuda', ' Argentina', ' Armenia', ' Australia', ' Austria', ' Azerbaijan', ' Bahamas', ' Bahrain', ' Bangladesh', ' Barbados', ' Belarus', ' Belgium', ' Belize', ' Benin', ' Bhutan', ' Bolivia', ' Bosnia and Herzegovina', ' Botswana', ' Brazil', ' Brunei', ' Bulgaria', ' Burkina Faso', ' Burundi', ' Cabo Verde', ' Cambodia', ' Cameroon', ' Canada', ' Central African Republic', ' Chad', ' Chile', ' China', ' Colombia', ' Comoros', ' Congo', ' Costa Rica', ' Croatia', ' Cuba', ' Cyprus', ' Czech Republic (Czechia)', ' Côte d’Ivoire', ' Denmark', ' Djibouti', ' Dominica', ' Dominican Republic', ' DR Congo', ' Ecuador', ' Egypt', ' El Salvador', ' Equatorial Guinea', ' Eritrea', ' Estonia', ' Eswatini', ' Ethiopia', ' Fiji', ' Finland', ' France', ' Gabon', ' Gambia', ' Georgia', ' Germany', ' Ghana', ' Greece', ' Grenada', ' Guatemala', ' Guinea', ' Guinea-Bissau', ' Guyana', ' Haiti', ' Holy See', ' Honduras', ' Hungary', ' Iceland', ' India', ' Indonesia', ' Iran', ' Iraq', ' Ireland', ' Israel', ' Italy', ' Jamaica', ' Japan', ' Jordan', ' Kazakhstan', ' Kenya', ' Kiribati', ' Kuwait', ' Kyrgyzstan', ' Laos', ' Latvia', ' Lebanon', ' Lesotho', ' Liberia', ' Libya', ' Liechtenstein', ' Lithuania', ' Luxembourg', ' Madagascar', ' Malawi', ' Malaysia', ' Maldives', ' Mali', ' Malta', ' Marshall Islands', ' Mauritania', ' Mauritius', ' Mexico', ' Micronesia', ' Moldova', ' Monaco', ' Mongolia', ' Montenegro', ' Morocco', ' Mozambique', ' Myanmar', ' Namibia', ' Nauru', ' Nepal', ' Netherlands', ' New Zealand', ' Nicaragua', ' Niger', ' Nigeria', ' North Korea', ' North Macedonia', ' Norway', ' Oman', ' Pakistan', ' Palau', ' Panama', ' Papua New Guinea', ' Paraguay', ' Peru', ' Philippines', ' Poland', ' Portugal', ' Qatar', ' Romania', ' Russia', ' Rwanda', ' Saint Kitts & Nevis', ' Saint Lucia', ' Samoa', ' San Marino', ' Sao Tome & Principe', ' Saudi Arabia', ' Senegal', ' Serbia', ' Seychelles', ' Sierra Leone', ' Singapore', ' Slovakia', ' Slovenia', ' Solomon Islands', ' Somalia', ' South Africa', ' South Korea', ' South Sudan', ' Spain', ' Sri Lanka', ' St. Vincent & Grenadines', ' State of Palestine', ' Sudan', ' Suriname', ' Sweden', ' Switzerland', ' Syria', ' Taiwan', ' Tajikistan', ' Tanzania', ' Thailand', ' Timor-Leste', ' Togo', ' Tonga', ' Trinidad and Tobago', ' Tunisia', ' Turkey', ' Turkmenistan', ' Tuvalu', ' Uganda', ' Ukraine', ' United Arab Emirates', ' United Kingdom', ' United States', ' Uruguay', ' Uzbekistan', ' Vanuatu', ' Venezuela', ' Vietnam', ' Yemen', ' Zambia', ' Zimbabwe'}
data2022main	Q11	WorkSituRecent	STRING	{'Remote (fully or mostly)'; 'Hybrid'; 'On site (fully or mostly)'; 'Other (please specify)'; '[^not answered]'; '[\unfinished]'}
data2022main	Q11	WorkSituRecent_Other__	STRING	
data2022main	Q12	WorkSituPreferred	STRING	{'Remote (fully or mostly)'; 'Hybrid'; 'On site (fully or mostly)'; 'Other (please specify)'; '[^not answered]'; '[\unfinished]'}
data2022main	Q12	WorkSituPreferred_Other__	STRING	
data2022main	Q13	RoleAsFreelance	STRING	{'Analyst'; 'Cartographer'; 'Designer'; 'Developer'; 'Engineer'; 'Journalist'; 'Leadership (Manager, Director, VP, etc.)'; 'Scientist'; 'Teacher'; 'None of these describes my role'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q14	DataVizCentralityFreelance	STRING	{'Primary'; 'Secondary'; 'Tertiary'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q15	ToolsChoiceFreelance	STRING	{'A - Own choice'; 'B - No problems'; 'C - Some problems'; 'D - Major problems'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11
data2022main	Q16	ToolsUnchoiceProblemsFreelance_PoorCustomization	STRING	{'Inadequate customizability'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_MisfitForTask	STRING	{'Not best fit for task'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_CostsAndOrLicenseIssues	STRING	{'Costs and/or license issues'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_PerformanceIssues	STRING	{'Performance issues (e.g. reliability, speed, lack of updates)'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_HardToLearn	STRING	{'Hard to learn'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_CannotIntegrateWithOtherTools	STRING	{'Cannot easily integrate with other tools'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_SharingLimits	STRING	{'Sharing limitations'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_SecurityOrGovernance	STRING	{'Security or governance difficulties'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_PoorUXUIAccessibility	STRING	{'Tool has poor UX/UI accessibility'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_PoorSupportOrPoorDocumentation	STRING	{'Insufficient support or poor documentation'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q16	ToolsUnchoiceProblemsFreelance_Other__	STRING	
data2022main	Q17	AudienceFreelance_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16
data2022main	Q17	AudienceFreelance_Public	STRING	{'General Public'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Analysts	STRING	{'Analysts'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Engineers	STRING	{'Engineers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Scientists	STRING	{'Scientists'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Medical	STRING	{'Medical Professionals'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_ProdProjManagers	STRING	{'Product or Project Managers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_PolicyMakers	STRING	{'Policy Makers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Execs	STRING	{'Executives'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Designers	STRING	{'Designers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Researchers	STRING	{'Researchers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Students	STRING	{'Students'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Educators	STRING	{'Educators'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_AdminPersonnel	STRING	{'Administrative Personnel'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_DataVizEnthusiasts	STRING	{'Other Data Visualization Enthusiasts'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Self	STRING	{'Myself'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q17	AudienceFreelance_Other__	STRING	
data2022main	Q18	RoleAsEmployee	STRING	{'Analyst'; 'Cartographer'; 'Designer'; 'Developer'; 'Engineer'; 'Journalist'; 'Leadership (Manager, Director, VP, etc.)'; 'Scientist'; 'Teacher'; 'None of these describes my role'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11
data2022main	Q19	OrgSector_Public	STRING	{'Public sector (government)'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_Private	STRING	{'Private sector'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_Nonprofit	STRING	{'Non-profit'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_Academia	STRING	{'Academia'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_Finance	STRING	{'Finance'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_HealthMed	STRING	{'Healthcare/medical'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_IT	STRING	{'Information technology'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_Journalism	STRING	{'Journalism'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_Marketing	STRING	{'Marketing'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_ConsultantMulti	STRING	{'Consultant (therefore multiple areas)'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q19	OrgSector_Other__	STRING	
data2022main	Q20	OrgSize	STRING	{'Fewer than 20 employees'; '20-99 employees'; '100-499 employees'; '500-999 employees'; '1,000-4,999 employees'; '5,000+ employees'; 'Don’t know'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q21	DataVizCentralityEmployee	STRING	{'Primary'; 'Secondary'; 'Tertiary'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q22	ToolsChoiceEmployee	STRING	{'A - Own choice'; 'B - No problems'; 'C - Some problems'; 'D - Major problems'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11
data2022main	Q23	ToolsUnchoiceProblemsEmployee_PoorCustomization	STRING	{'Inadequate customizability'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_MisfitForTask	STRING	{'Not best fit for task'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_CostsAndOrLicenseIssues	STRING	{'Costs and/or license issues'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_PerformanceIssues	STRING	{'Performance issues (e.g. reliability, speed, lack of updates)'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_HardToLearn	STRING	{'Hard to learn'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_CannotIntegrateWithOtherTools	STRING	{'Cannot easily integrate with other tools'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_SharingLimits	STRING	{'Sharing limitations'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_SecurityOrGovernance	STRING	{'Security or governance difficulties'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_PoorUXUIAccessibility	STRING	{'Tool has poor UX/UI accessibility'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_PoorSupportOrPoorDocumentation	STRING	{'Insufficient support or poor documentation'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q23	ToolsUnchoiceProblemsEmployee_Other__	STRING	
data2022main	Q24	DataVizOrgLeadership	INTEGER	{'1. Strongly Disagree'; '2. Disagree'; '3. Neither Agree nor Disagree'; '4. Agree'; '5. Strongly Agree'; 'I don’t know'; '[\unasked]'; '[\unfinished]'; '[^not answered]'}
data2022main	Q25	AudienceEmployee_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16
data2022main	Q25	AudienceEmployee_Public	STRING	{'General Public'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Analysts	STRING	{'Analysts'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Engineers	STRING	{'Engineers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Scientists	STRING	{'Scientists'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Medical	STRING	{'Medical Professionals'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_ProdProjManagers	STRING	{'Product or Project Managers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_PolicyMakers	STRING	{'Policy Makers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Execs	STRING	{'Executives'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Designers	STRING	{'Designers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Researchers	STRING	{'Researchers'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Students	STRING	{'Students'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Educators	STRING	{'Educators'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_AdminPersonnel	STRING	{'Administrative Personnel'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_DataVizEnthusiasts	STRING	{'Other Data Visualization Enthusiasts'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Self	STRING	{'Myself'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q25	AudienceEmployee_Other__	STRING	
data2022main	Q26	AcadArea	STRING	{'Arts and Humanities'; 'Business'; 'Health and Medicine'; 'Multi-/Interdisciplinary Studies'; 'Public and Social Services'; 'Science, Math, and Technology'; 'Social Sciences'; 'Trades and Personal Services'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q27	AcadDataVizUse_	INTEGER	0; 1; 2; 3; 4; 5
data2022main	Q27	AcadDataVizUse_ShareFindings	STRING	{'Communication of research findings'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q27	AcadDataVizUse_TeachDataViz	STRING	{'Teaching data visualization as a course topic'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q27	AcadDataVizUse_ResearchTopic	STRING	{'As a topic of academic research'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q27	AcadDataVizUse_OtherTeaching	STRING	{'Other instructional purposes'; '[^not chosen]'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q27	AcadDataVizUse_Other__	STRING	
data2022main	Q28	StudentTime	STRING	{'Full time'; 'Part time'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q29	StudentDegreeLevel	STRING	{'Undergraduate/Bachelor’s'; 'Graduate/Master’s'; 'PhD/Doctorate'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q30	StudentDataVizTaught	STRING	{'Yes, in a required course'; 'Yes, in an elective course'; 'No'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q31	StudentDegreeArea__	STRING	
data2022main	Q32	HobbyTime	STRING	{'5 or fewer'; '6–10'; '11–20'; '21–30'; '31–40'; 'More than 40'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q33.1	HobbyEnjoyment	STRING	{'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q33.2	HobbyPortfolio	STRING	{'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q33.3	HobbyVolunteer	STRING	{'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q33.4	HobbyShareMessages	STRING	{'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q33.5	HobbyBuildSkills	STRING	{'Never'; 'Rarely'; 'Sometimes'; 'Often'; '[^not answered]'; '[\unasked]'; '[\unfinished]'}
data2022main	Q33.6	HobbyOther__	STRING	
data2022main	Q34	ChartsUsed_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23
data2022main	Q34	ChartsUsed_Line	STRING	{'Line Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Bar	STRING	{'Bar Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_PieOrDonut	STRING	{'Pie Chart/Donut Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Scatterplot	STRING	{'Scatterplot'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Histogram	STRING	{'Histogram'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Boxplot	STRING	{'Boxplot/Box and Whisker'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_DotPlot	STRING	{'Dot Plot'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Hexbin	STRING	{'Hexbin'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Heatmap	STRING	{'Heatmap'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Infographic	STRING	{'Infographic'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Pictorial	STRING	{'Pictorial Visualization'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Treemap	STRING	{'Treemap'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Dendrogram	STRING	{'Dendrogram'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Network	STRING	{'Network Diagram'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_ChoroplethMap	STRING	{'Choropleth Map'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_OtherGeospatialMap	STRING	{'Geospatial Map (other than Choropleth)'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Waffle	STRING	{'Waffle Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Flow	STRING	{'Flow Chart (Sankey, DAGRE, Alluvial)'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_3D	STRING	{'3D Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_VRorAR	STRING	{'VR/AR Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_BeeSwarm	STRING	{'Bee Swarm Chart'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_ForceDirected	STRING	{'Force-Directed Graph'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
data2022main	Q34	ChartsUsed_Other__	STRING	
data2022main	Q35	DataVizSharingChannels_	INTEGER	0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18
data2022main	Q35	DataVizSharingChannels_EmbeddedInTool	STRING	{'Embedded in a tool'; '[^not chosen]'; '[^not answered]'; '[\unfinished]'}
